[22Dec2024 00:36:58.036] [Server thread/INFO] [net.minecraft.server.players.PlayerList/]: youcriper[/172.24.1.167:55323] logged in with entity id 7670 at (-1907.699999988079, 73.0, 1721.300000011921)
[22Dec2024 00:36:58.134] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: youcriper joined the game
[22Dec2024 00:36:59.313] [Server thread/WARN] [ImprovableSkills/]: Skill tick took too long! (1139 ms, expected <50 ms!). Time map: [improvableskills:accelerated_furnace=1139, improvableskills:luck_of_the_sea=0, improvableskills:silent_foot=0, improvableskills:obsidian_skin=0, improvableskills:attack_speed=0, improvableskills:dexterous_arms=0, improvableskills:huckster=0, improvableskills:fast_swimmer=0, improvableskills:growth=0, improvableskills:pvp=0, improvableskills:xp_plus=0, improvableskills:soft_landing=0, improvableskills:cutting=0, improvableskills:treasure_sands=0, improvableskills:mob_repellent=0, improvableskills:mining=0, improvableskills:atkdmg_ranged=0, improvableskills:alchemist=0, improvableskills:leaper=0, improvableskills:atkdmg_melee=0, improvableskills:ladder_king=0, improvableskills:ender_manipulator=0, improvableskills:generic_protection=0, improvableskills:health=0, improvableskills:enchanter=0, improvableskills:digging=0, improvableskills:soul_speed=0]
[22Dec2024 00:36:59.318] [Server thread/INFO] [voicechat/]: [voicechat] Received secret request of youcriper (18)
[22Dec2024 00:36:59.319] [Server thread/INFO] [voicechat/]: [voicechat] Sent secret to youcriper
[22Dec2024 00:36:59.319] [Server thread/INFO] [com.alrex.parcool.ParCool/]: Limitation of 9f14b36d-5b4d-33af-bc66-3bfc295459d2 was loaded
[22Dec2024 00:36:59.321] [Server thread/INFO] [ImprovableSkills/]: Sending skill data to youcriper (9f14b36d-5b4d-33af-bc66-3bfc295459d2)
[22Dec2024 00:37:03.095] [Server thread/INFO] [do_a_barrel_roll/]: Client of youcriper accepted server config.
[22Dec2024 00:37:03.116] [VoiceChatPacketProcessingThread/INFO] [voicechat/]: [voicechat] Successfully authenticated player 9f14b36d-5b4d-33af-bc66-3bfc295459d2
[22Dec2024 00:37:04.119] [VoiceChatPacketProcessingThread/INFO] [voicechat/]: [voicechat] Successfully validated connection of player 9f14b36d-5b4d-33af-bc66-3bfc295459d2
[22Dec2024 00:37:04.120] [VoiceChatPacketProcessingThread/INFO] [voicechat/]: [voicechat] Player youcriper (9f14b36d-5b4d-33af-bc66-3bfc295459d2) successfully connected to voice chat
[22Dec2024 00:46:30.789] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [youcriper: Set the time to 1000]
[22Dec2024 00:47:49.492] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [youcriper: Set own game mode to Creative Mode]
[22Dec2024 00:48:41.685] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [youcriper: Set own game mode to Survival Mode]
[22Dec2024 00:54:24.247] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [youcriper: Set the time to 1000]
[22Dec2024 00:54:33.358] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [youcriper: Set the time to 1000]
[22Dec2024 00:55:22.064] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [youcriper: Set own game mode to Creative Mode]
[22Dec2024 00:55:54.078] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [youcriper: Set own game mode to Survival Mode]
[22Dec2024 00:58:44.310] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1903, y=74, z=1763} BlockPos{x=-1903, y=73, z=1764}
[22Dec2024 01:02:31.377] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1755} BlockPos{x=-1899, y=74, z=1754}
[22Dec2024 01:02:31.412] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1755} BlockPos{x=-1899, y=74, z=1754}
[22Dec2024 01:02:31.467] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1755} BlockPos{x=-1899, y=74, z=1754}
[22Dec2024 01:02:31.514] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1755} BlockPos{x=-1899, y=74, z=1754}
[22Dec2024 01:02:31.567] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1756} BlockPos{x=-1899, y=74, z=1754}
[22Dec2024 01:02:31.616] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1756} BlockPos{x=-1899, y=74, z=1754}
[22Dec2024 01:02:31.762] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1757} BlockPos{x=-1899, y=74, z=1756}
[22Dec2024 01:02:31.815] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1757} BlockPos{x=-1899, y=74, z=1756}
[22Dec2024 01:02:31.867] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1757} BlockPos{x=-1899, y=74, z=1756}
[22Dec2024 01:02:32.026] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1758} BlockPos{x=-1899, y=74, z=1757}
[22Dec2024 01:02:32.066] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1758} BlockPos{x=-1899, y=74, z=1757}
[22Dec2024 01:02:32.130] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1758} BlockPos{x=-1899, y=74, z=1757}
[22Dec2024 01:02:32.165] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1758} BlockPos{x=-1899, y=74, z=1757}
[22Dec2024 01:02:32.232] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1759} BlockPos{x=-1899, y=74, z=1757}
[22Dec2024 01:02:32.265] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1759} BlockPos{x=-1899, y=74, z=1757}
[22Dec2024 01:02:32.328] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1759} BlockPos{x=-1899, y=74, z=1757}
[22Dec2024 01:02:32.365] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1759} BlockPos{x=-1899, y=74, z=1757}
[22Dec2024 01:02:32.411] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1760} BlockPos{x=-1899, y=74, z=1757}
[22Dec2024 01:02:32.467] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1760} BlockPos{x=-1899, y=74, z=1757}
[22Dec2024 01:02:32.511] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1760} BlockPos{x=-1899, y=74, z=1757}
[22Dec2024 01:02:32.567] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1760} BlockPos{x=-1899, y=74, z=1757}
[22Dec2024 01:02:32.616] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1760} BlockPos{x=-1899, y=74, z=1757}
[22Dec2024 01:02:32.666] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1761} BlockPos{x=-1899, y=74, z=1757}
[22Dec2024 01:02:32.718] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1761} BlockPos{x=-1899, y=74, z=1757}
[22Dec2024 01:02:33.864] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1763} BlockPos{x=-1899, y=74, z=1762}
[22Dec2024 01:02:33.916] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1763} BlockPos{x=-1899, y=74, z=1762}
[22Dec2024 01:02:33.966] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1763} BlockPos{x=-1899, y=74, z=1762}
[22Dec2024 01:02:34.116] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1764} BlockPos{x=-1899, y=74, z=1763}
[22Dec2024 01:02:34.164] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1764} BlockPos{x=-1899, y=74, z=1763}
[22Dec2024 01:02:34.215] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1764} BlockPos{x=-1899, y=74, z=1763}
[22Dec2024 01:02:34.278] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1764} BlockPos{x=-1899, y=74, z=1763}
[22Dec2024 01:02:34.315] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1765} BlockPos{x=-1899, y=74, z=1763}
[22Dec2024 01:02:34.365] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1765} BlockPos{x=-1899, y=74, z=1763}
[22Dec2024 01:02:34.417] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1765} BlockPos{x=-1899, y=74, z=1763}
[22Dec2024 01:02:34.478] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1765} BlockPos{x=-1899, y=74, z=1763}
[22Dec2024 01:02:34.512] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1766} BlockPos{x=-1899, y=74, z=1763}
[22Dec2024 01:02:34.583] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1766} BlockPos{x=-1899, y=74, z=1763}
[22Dec2024 01:02:34.731] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1767} BlockPos{x=-1899, y=74, z=1766}
[22Dec2024 01:02:34.767] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1767} BlockPos{x=-1899, y=74, z=1766}
[22Dec2024 01:02:34.818] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1767} BlockPos{x=-1899, y=74, z=1766}
[22Dec2024 01:02:34.863] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1767} BlockPos{x=-1899, y=74, z=1766}
[22Dec2024 01:02:34.918] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=73, z=1768} BlockPos{x=-1899, y=74, z=1766}
[22Dec2024 01:02:34.964] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=73, z=1768} BlockPos{x=-1899, y=74, z=1766}
[22Dec2024 01:02:47.012] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1770} BlockPos{x=-1899, y=74, z=1769}
[22Dec2024 01:02:47.067] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1770} BlockPos{x=-1899, y=74, z=1769}
[22Dec2024 01:02:47.314] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1771} BlockPos{x=-1899, y=74, z=1770}
[22Dec2024 01:02:47.361] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1771} BlockPos{x=-1899, y=74, z=1770}
[22Dec2024 01:02:47.411] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=74, z=1771} BlockPos{x=-1899, y=74, z=1770}
[22Dec2024 01:02:59.863] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1900, y=75, z=1742} BlockPos{x=-1899, y=75, z=1742}
[22Dec2024 01:02:59.912] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1900, y=75, z=1742} BlockPos{x=-1899, y=75, z=1742}
[22Dec2024 01:02:59.962] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1900, y=75, z=1742} BlockPos{x=-1899, y=75, z=1742}
[22Dec2024 01:03:00.357] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1901, y=75, z=1742} BlockPos{x=-1900, y=75, z=1742}
[22Dec2024 01:03:00.358] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1901, y=75, z=1742} BlockPos{x=-1900, y=75, z=1742}
[22Dec2024 01:03:00.358] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1901, y=75, z=1742} BlockPos{x=-1900, y=75, z=1742}
[22Dec2024 01:03:00.358] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1901, y=75, z=1742} BlockPos{x=-1900, y=75, z=1742}
[22Dec2024 01:03:00.359] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1902, y=75, z=1742} BlockPos{x=-1900, y=75, z=1742}
[22Dec2024 01:03:00.365] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1902, y=75, z=1742} BlockPos{x=-1900, y=75, z=1742}
[22Dec2024 01:03:00.426] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1902, y=75, z=1742} BlockPos{x=-1900, y=75, z=1742}
[22Dec2024 01:03:00.466] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1902, y=75, z=1742} BlockPos{x=-1900, y=75, z=1742}
[22Dec2024 01:03:00.515] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1902, y=75, z=1742} BlockPos{x=-1900, y=75, z=1742}
[22Dec2024 01:03:00.566] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1903, y=75, z=1742} BlockPos{x=-1900, y=75, z=1742}
[22Dec2024 01:03:00.612] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1903, y=75, z=1742} BlockPos{x=-1900, y=75, z=1742}
[22Dec2024 01:03:01.426] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1902, y=75, z=1743} BlockPos{x=-1903, y=75, z=1743}
[22Dec2024 01:03:01.469] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1902, y=75, z=1743} BlockPos{x=-1903, y=75, z=1743}
[22Dec2024 01:03:01.914] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1901, y=75, z=1743} BlockPos{x=-1902, y=75, z=1743}
[22Dec2024 01:03:01.962] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1901, y=75, z=1743} BlockPos{x=-1902, y=75, z=1743}
[22Dec2024 01:03:02.019] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1901, y=75, z=1743} BlockPos{x=-1902, y=75, z=1743}
[22Dec2024 01:03:02.166] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1900, y=75, z=1743} BlockPos{x=-1901, y=75, z=1743}
[22Dec2024 01:03:02.213] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1900, y=75, z=1743} BlockPos{x=-1901, y=75, z=1743}
[22Dec2024 01:03:02.263] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1900, y=75, z=1743} BlockPos{x=-1901, y=75, z=1743}
[22Dec2024 01:03:02.326] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1900, y=75, z=1743} BlockPos{x=-1901, y=75, z=1743}
[22Dec2024 01:03:02.367] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-1899, y=75, z=1743} BlockPos{x=-1901, y=75, z=1743}
